Reading Airport file from airports.txt
There were 5738 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Routes with IATA code
0.00076792734597 Ferihegy, Hungary
0.000767670190919 Catania Fontanarossa, Italy
0.00076692299934 Orlando Sanford Intl, United States
0.000766633949367 Carthage, Tunisia
0.000766095626728 Chubu Centrair Intl, Japan
0.000766005367529 Ioannis Kapodistrias Intl, Greece
0.000765096146605 Baita Airport, China
0.000761094657272 Metropolitan Oakland Intl, United States
0.000755076833202 Shiraz Shahid Dastghaib Intl, Iran
0.000752559777334 Makedonia, Greece
0.000751582014903 Kotoka Intl, Ghana
0.000745424701061 Austin Bergstrom Intl, United States
0.0007443608686 King Salmon, United States
0.000735057874341 Leeds Bradford, United Kingdom
0.000734341265302 EuroAirport Basel-Mulhouse-Freiburg, Switzerland
0.000733997393983 King Fahd Intl, Saudi Arabia
0.000733873203959 Almaty, Kazakhstan
0.000729736785335 Ottawa Macdonald Cartier Intl, Canada
0.000729270396901 Mariscal Sucre Intl, Ecuador
0.000726354285787 Valencia, Spain
0.00072192366234 Bahrain Intl, Bahrain
0.00071740346684 Girona, Spain
0.000716844753119 El Salvador Intl, El Salvador
0.00071088260605 Yangon Intl, Burma
0.000702552012188 Val De Cans Intl, Brazil
0.000698797213786 Santo Pekoa International Airport, Vanuatu
0.000689393299423 Rankin Inlet, Canada
0.000684732783205 Mandalay Intl, Burma
0.000684632061206 Memphis Intl, United States
0.000683841016518 General Mariano Escobedo Intl, Mexico
0.000682745520663 Magenta, New Caledonia
0.000682023624076 Raleigh Durham Intl, United States
0.000681024182239 Santos Dumont, Brazil
0.000680830402978 Brussels South, Belgium
0.000678799847038 Wabush, Canada
0.000676230967648 Blagnac, France
0.000676117244366 Menorca, Spain
0.000675351095259 Eindhoven, Netherlands
0.000674450823784 Khartoum, Sudan
0.000673842008019 Guararapes Gilberto Freyre Intl, Brazil
0.000673651016289 Pisa, Italy
0.000672705209364 San Antonio Intl, United States
0.000671476328 Quebec Jean Lesage Intl, Canada
0.000669527767479 City, United Kingdom
0.000661867302253 Liangjiang, China
0.000661448954502 Rafic Hariri Intl, Lebanon
0.000660554568697 Kahului, United States
0.000655650549289 Hannover, Germany
0.00065469244453 Esenboga, Turkey
0.000651093770113 Chaklala, Pakistan
0.000650988142619 Heydar Aliyev, Azerbaijan
0.000650638519861 Meilan, China
0.000649311237985 Naha, Japan
0.000648936980694 Cape Town Intl, South Africa
0.000637542836854 Louis Armstrong New Orleans Intl, United States
0.000637424493608 Bologna, Italy
0.00063387454538 Beograd, Serbia
0.000633137097702 Phuket Intl, Thailand
0.00063284735026 Phoenix International, China
0.000632253023434 Punta Cana Intl, Dominican Republic
0.00063110109841 Kos, Greece
0.000630500525814 Changbei Intl, China
0.000630145999846 Fuerteventura, Spain
0.000629085185498 Goose Bay, Canada
0.000626636014833 Nantes Atlantique, France
0.000625103277251 Sacramento Intl, United States
0.000624714563781 Schonefeld, Germany
0.000623395597609 Luxembourg, Luxembourg
0.000620560205343 Merignac, France
0.000620340327959 Split, Croatia
0.00061898711837 Norman Y Mineta San Jose Intl, United States
0.000618908324319 Polonia, Indonesia
0.00061637910472 Capodichino, Italy
0.000616032348009 Subang-Sultan Abdul Aziz Shah Intl, Malaysia
0.000615199301296 Sept Iles, Canada
0.00061505519356 Tanna island, Vanuatu
0.000614354896566 Astana Intl, Kazakhstan
0.000612617703429 Sepinggan, Indonesia
0.000612436269741 Kota Kinabalu Intl, Malaysia
0.000607763795366 Kaohsiung Intl, Taiwan
0.000605566217296 Olbia Costa Smeralda, Italy
0.000605105449339 Lishe, China
0.000604041041385 Cincinnati Northern Kentucky Intl, United States
0.000603058994391 Adnan Menderes, Turkey
0.000602951722283 Lanzhou Airport, China
0.000602253242636 Dubrovnik, Croatia
0.000599940494917 Macau Intl, Macau
0.00059639414564 Indianapolis Intl, United States
0.000595899036279 Jeju Intl, South Korea
0.000595734046892 Aniak Airport, United States
0.000594604805186 General Mitchell Intl, United States
0.000593730215403 Hercilio Luz, Brazil
0.000591296308047 Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire
0.000589969119631 Pittsburgh Intl, United States
0.000587453117051 Halifax Intl, Canada
0.000586752410188 Jose Joaquin De Olmedo Intl, Ecuador
0.000586081654665 Princess Juliana Intl, Netherlands Antilles
0.000583773443474 Tripoli Intl, Libya
0.00058121079625 Thunder Bay, Canada
0.000579244624126 Bilbao, Spain
0.000574109715101 Lusaka Intl, Zambia
0.000573925147319 Douala, Cameroon
0.000566957470602 El Alto Intl, Bolivia
0.000566341800108 Wenzhou Yongqiang Airport, China
0.00056427699319 Sanaa Intl, Yemen
0.000564092765541 Kuujjuaq, Canada
0.000563108947191 Hato, Netherlands Antilles
0.000556734642787 Nausori Intl, Fiji
0.000554747676287 Liverpool, United Kingdom
0.000552495874722 Pinto Martins Intl, Brazil
0.000546651558123 Port Columbus Intl, United States
0.000545901468442 Inuvik Mike Zubko, Canada
0.000543265796119 Menara, Morocco
0.000542074072081 Penang Intl, Malaysia
0.000540381961554 Reina Beatrix Intl, Aruba
0.000538439107082 Novy, Russia
0.000533941003381 Albuquerque International Sunport, United States
0.000532699166475 Ivato, Madagascar
0.000532583935041 Nairobi Wilson, Kenya
0.000531864341399 Luogang, China
0.000531733530768 Emelyanovo, Russia
0.000529775881543 Vaernes, Norway
0.000529525434888 Southwest Florida Intl, United States
0.000526551303478 Burgas, Bulgaria
0.000525747372657 Frankfurt Hahn, Germany
0.00052563152779 Changchun, China
0.000523356852981 Elmas, Italy
0.000520526351575 Miri, Malaysia
0.000520003720849 Phoenix-Mesa Gateway, United States
0.000518637161933 Linate, Italy
0.000518632167457 Palermo, Italy
0.000517103021115 Reykjavik, Iceland
0.000516469992123 Chinggis Khaan Intl, Mongolia
0.000515270068725 Sofia, Bulgaria
0.000515155185711 Osaka Intl, Japan
0.000513623825347 Allama Iqbal Intl, Pakistan
0.000512480644677 John Wayne Arpt Orange Co, United States
0.000510356815615 Male Intl, Maldives
0.000508468923623 Ilulissat, Greenland
0.000505645360661 Myrtle Beach Intl, United States
0.000504681023026 Los Cabos Intl, Mexico
0.000503147652648 Cochin, India
0.000502184605047 Knevichi, Russia
0.000500481398907 Red Lake Airport, Canada
0.000499423693413 Kirkwall, United Kingdom
0.000499254584641 Minsk 2, Belarus
0.000498933090244 Tallinn, Estonia
0.000497203889407 Puvirnituq Airport, Canada
0.000493428232371 Dalaman, Turkey
0.000490656369601 Rarotonga Intl, Cook Islands
0.00048487754813 La Aurora, Guatemala
0.000484406945822 Vilnius Intl, Lithuania
0.000484358557541 Yinchuan, China
0.000483079525249 Sir Seewoosagur Ramgoolam Intl, Mauritius
0.000481420301093 Alfonso Bonilla Aragon Intl, Colombia
0.000479957775575 Kigali Intl, Rwanda
0.000479354395729 Maputo, Mozambique
0.000473877630947 Bromma, Sweden
0.000470962840532 Madeira, Portugal
0.000469298782962 General Abelardo L Rodriguez Intl, Mexico
0.000468271580911 Langnes, Norway
0.000467200382691 Dallas Love Fld, United States
0.000465241505488 Tille, France
0.000465004922332 Shijiazhuang Daguocun International Airport, China
0.000462192325355 Viru Viru Intl, Bolivia
0.000461856773889 Imam Khomeini, Iran
0.000460586281616 Nuuk, Greenland
0.000458151388073 Townsville, Australia
0.000457724432133 Esfahan Shahid Beheshti Intl, Iran
0.000457685922524 Niederrhein, Germany
0.000457338052313 Balice, Poland
0.000453338146699 Ouagadougou, Burkina Faso
0.000450933354433 Sola, Norway
0.000450022956577 Tenerife Norte, Spain
0.00044978434321 Beijing Nanyuan Airport, China
0.000449681969973 Pafos Intl, Cyprus
0.000449644209186 Cadjehoun, Benin
0.000447854840319 Entebbe Intl, Uganda
0.000445553076755 Jose Maria Cordova, Colombia
0.000443065776189 Borg El Arab Intl, Egypt
0.00044246177331 Pampulha Carlos Drummond De Andrade, Brazil
0.000440676143883 Chiang Mai Intl, Thailand
0.000440621195551 Bateen, United Arab Emirates
0.000439199097159 Ahwaz, Iran
0.000438633593425 Gold Coast, Australia
0.000436830551986 Mc Ghee Tyson, United States
0.000435785471676 Sevilla, Spain
0.000435038353311 Maya Maya, Congo (Brazzaville)
0.000434588559509 Bodo, Norway
0.000434433610956 Harare Intl, Zimbabwe
0.000433144190236 Sangster Intl, Jamaica
0.000432956341889 Las Americas Intl, Dominican Republic
0.000432487589287 Campo Dell Oro, France
0.000432418858819 Laishan, China
0.000430406918134 Bari, Italy
0.000429763614871 Santa Genoveva, Brazil
0.000426954402246 Sentani, Indonesia
0.000425372416218 Waskaganish Airport, Canada
0.000424831193063 Zhuliany Intl, Ukraine
0.000424467911414 Vityazevo, Russia
0.000423822708534 Kuching Intl, Malaysia
0.000423114273503 Zvartnots, Armenia
0.000421720113968 Ciampino, Italy
0.000421610663872 Xining Caojiabu Airport, China
0.000421353149642 Landvetter, Sweden
0.00042026157865 Sondre Stromfjord, Greenland
0.000418632689534 Charlotte County-Punta Gorda Airport, United States
0.000417336174698 Ondjiva Pereira Airport, Angola
0.000416963374144 Dyce, United Kingdom
0.000415357645779 Gimpo, South Korea
0.000414459567999 Unalakleet Airport, United States
0.00041187648226 Gurney Airport, Papua New Guinea
0.000410114027762 Guam Intl, Guam
0.000409612787954 Ljubljana, Slovenia
0.000409279380097 Jersey, Jersey
0.000409240370965 Belfast Intl, United Kingdom
0.000407521756391 Lijiang Airport, China
0.000406973331751 Bandar Abbass Intl, Iran
0.000406871094785 La Tontouta, New Caledonia
0.000405613508611 Mwalimu Julius K Nyerere Intl, Tanzania
0.000405517023034 Fort Yukon, United States
0.000405494932388 Tobias Bolanos International Airport, Costa Rica
0.000404934862355 Sharm El Sheikh Intl, Egypt
0.000404883730313 Khrabrovo, Russia
0.000404405766231 Banjul Intl, Gambia
0.000402485092272 Unalaska, United States
0.000401715130971 Jacksonville Intl, United States
0.00040156373164 Wuxi Airport, China
0.000401502347284 Cambridge Bay, Canada
0.00039986815928 Zagreb, Croatia
0.00039984830955 Catumbela Airport, Angola
0.000399572261913 Ahmedabad, India
0.000398587894611 Ponta Delgada, Portugal
0.00039856784595 Owen Roberts Intl, Cayman Islands
0.000396874072985 Ufa, Russia
0.000396816136464 Souda, Greece
0.000396163711911 Gjoa Haven, Canada
0.000396061866666 Nurnberg, Germany
0.000395073902277 V C Bird Intl, Antigua and Barbuda
0.000394745778458 Lech Walesa, Poland
0.000394641543071 Prince Mohammad Bin Abdulaziz, Saudi Arabia
0.000393403696406 Bradley Intl, United States
0.00039153490019 Billings Logan International Airport, United States
0.000390802462729 Cardiff, United Kingdom
0.000389984597603 Mount Hagen, Papua New Guinea
0.000389701353104 Trapani Birgi, Italy
0.000389089211279 Manas, Kyrgyzstan
0.000389014777589 Governador Jorge Teixeira De Oliveira, Brazil
0.000386835605985 Louisville International Airport, United States
0.000386399846974 Yakutsk, Russia
0.000386295064642 Lesquin, France
0.000385762330385 Lokpriya Gopinath Bordoloi International Airport, India
0.000384692323376 Will Rogers World, United States
0.000384533081639 Chapeco, Brazil
0.00038370717254 Neuenland, Germany
0.00038368537513 Firenze, Italy
0.000381238732005 Hang Nadim, Indonesia
0.000381128112296 Moss, Norway
0.000380648617909 Kurumoch, Russia
0.000379611701816 Piarco, Trinidad and Tobago
0.000377667968174 St Petersburg Clearwater Intl, United States
0.000377511264211 St Johns Intl, Canada
0.000376107562899 Kuujjuarapik Airport, Canada
0.000375905047512 Goiabeiras, Brazil
0.000374827407936 Pattimura, Indonesia
0.000374330583095 Providenciales, Turks and Caicos Islands
0.00037345817449 Siem Reap, Cambodia
0.000373452668849 Kazan, Russia
0.000373212459729 Dongshan, China
0.000372961968121 Southampton, United Kingdom
0.000372792561408 Norman Wells, Canada
0.000371825714407 Licenciado Gustavo Diaz Ordaz Intl, Mexico
0.000369339469388 Torp, Norway
0.00036802378691 Skavsta, Sweden
0.000368015737156 Billund, Denmark
0.000367590559326 Toncontin Intl, Honduras
0.000367490825172 Danang Intl, Vietnam
0.000367064804084 Bodrum - Milas, Turkey
0.000366853883634 Peshawar Intl, Pakistan
0.000365982638909 Edward G Pitka Sr, United States
0.000363854115511 Buffalo Niagara Intl, United States
0.000363691414257 La Mesa Intl, Honduras
0.000362922623204 Nadzab, Papua New Guinea
0.00036257227531 Cyril E King, Virgin Islands
0.000362501926914 Palm Beach Intl, United States
0.000361600413798 Es Senia, Algeria
0.00036139707857 Del Caribe Intl Gen Santiago Marino, Venezuela
0.000360601361727 Thiruvananthapuram Intl, India
0.000357806802406 Pashkovskiy, Russia
0.000356416936446 Eppley Afld, United States
0.000356119832141 Marechal Cunha Machado Intl, Brazil
0.000354580813338 Leon M Ba, Gabon
0.000353056453243 Irkutsk, Russia
0.000351524694784 Sungshan, Taiwan
0.000351227362814 Leite Lopes, Brazil
0.000350262377029 Pristina, Serbia
0.000350174819077 Mount Isa, Australia
0.000347794627732 Cork, Ireland
0.0003472546453 Tokua Airport, Papua New Guinea
0.000346539725095 Ndjili Intl, Congo (Kinshasa)
0.00034479616611 Kodiak, United States
0.000342832742231 Dortmund, Germany
